-4.4077,4.4975,6.7549,-6.7747,-0.1980,8.6420,0.7032,1.1815
6.6792,10.9470,-1.6024,-4.0124,-0.8087,1.7102,8.3374,-5.5968
-14.5396,4.5007,13.8169,5.1155,-0.6230,11.9626,0.1114,-7.3457
-10.9038,2.3706,12.0562,7.3817,6.3741,7.3362,1.2449,-3.4302
-1.6762,11.9724,-0.7879,1.1363,-0.3879,-1.0529,5.9384,-13.5061
0.2204,-7.3985,4.1041,-13.3540,-1.7214,7.4194,-5.5322,9.1681
5.6911,-2.4653,-1.6627,-15.5843,-1.8896,0.2269,3.0031,-0.7536
-13.3908,-4.5295,9.1783,2.1403,6.4801,9.7579,-7.5263,7.6594
1.7612,4.3955,-0.1761,0.8840,2.4578,0.8736,-2.7376,-1.2700
-5.8391,-2.3845,1.7272,1.8039,0.3381,-2.1477,-1.9720,-2.9588
0.2867,-2.3232,2.4686,-1.5586,-3.5052,0.1589,1.0714,-2.0483
-3.2000,0.0796,3.9555,0.3836,-0.0476,1.1708,0.2317,-4.1248
-3.6861,-1.6998,6.4792,1.8799,3.9654,6.4215,-0.1234,0.6259
-1.4640,-2.5589,-0.0589,-1.2856,-0.5413,1.7165,-0.9398,-1.6168
-4.7217,-4.4861,-0.8057,-12.9609,-2.4724,-1.1622,-9.2672,2.8829
-1.1670,-1.4567,-0.3536,-3.3425,0.4224,-0.8943,-1.8354,2.6253
-1.2756,-1.6480,-0.3785,-0.5479,-5.0961,2.5038,-9.5984,5.0457
5.6374,2.0047,-0.3942,-0.3415,-1.6491,0.8462,-1.7713,-0.0982
-4.6481,-2.3435,0.7701,1.9600,-1.1971,-2.8138,-1.2890,-1.1551
